Map			Zone																																																																									Connections								
				Type					Restrictions				Player towns					Neutral towns					Town types									Minimum mines							Mine Density							Terrain									Monsters												Treasure									Zones					Restrictions			
			10	x				23	1	8	2	8	3		1								x	x	x	x	x	x	x	x	x	1		1												x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	0	3000	9	8	13	3000			1	8	2	8
			11	x				23	1	8	2	8	5		1								x	x	x	x	x	x	x	x	x	1		1												x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	0	3000	9	2	7	3000			1	8	2	8
			12	x				23	1	8	2	8	4		1								x	x	x	x	x	x	x	x	x	1		1												x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	0	3000	9	7	15	3000			1	8	2	8
			13	x				23	1	8	2	8	7		1								x	x	x	x	x	x	x	x	x	1		1												x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	0	3000	9	2	9	3000			1	8	2	8
			14	x				23	1	8	2	8	8		1								x	x	x	x	x	x	x	x	x	1		1												x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	0	3000	9	9	14	3000			1	8	2	8
			15	x				23	1	8	2	8	6		1								x	x	x	x	x	x	x	x	x	1		1												x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	0	3000	9	10	17	6000			1	8	2	8
			16			x		23	1	8	2	8						1					x	x	x	x	x	x	x	x	x							1									x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	17000	20000	3	10000	17000	9	6000	8999	9	15	17	6000			1	8	2	8
			17			x		23	1	8	2	8						1					x	x	x	x	x	x	x	x	x							1									x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	17000	20000	3	10000	17000	9	6000	8999	9	12	16	6000			1	8	2	8
			18			x		23	1	8	2	8						1					x	x	x	x	x	x	x	x	x							1									x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	17000	20000	3	10000	17000	9	6000	8999	9	13	16	6000			1	8	2	8
			19			x		23	1	8	2	8						1					x	x	x	x	x	x	x	x	x							1									x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	17000	20000	3	10000	17000	9	6000	8999	9	10	19	6000			1	8	2	8
			20			x		23	1	8	2	8						1					x	x	x	x	x	x	x	x	x							1									x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	17000	20000	3	10000	17000	9	6000	8999	9	11	19	6000			1	8	2	8
			21			x		23	1	8	2	8						1					x	x	x	x	x	x	x	x	x							1									x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	17000	20000	3	10000	17000	9	6000	8999	9	11	18	6000			1	8	2	8
			22			x		23	1	8	2	8						1					x	x	x	x	x	x	x	x	x							1									x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	17000	20000	3	10000	17000	9	6000	8999	9	12	18	6000			1	8	2	8
			23			x		23	1	8	2	8						1					x	x	x	x	x	x	x	x	x							1									x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	17000	20000	3	10000	17000	9	6000	8999	9	13	21	6000			1	8	2	8
			24			x		23	1	8	2	8						1					x	x	x	x	x	x	x	x	x							1									x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	17000	20000	3	10000	17000	9	6000	8999	9	14	21	6000			1	8	2	8
																																																																												15	20	6000			1	8	2	8
																																																																												14	20	6000			1	8	2	8
																																																																												12	22	6000			1	8	2	8
																																																																												10	22	6000			1	8	2	8
																																																																												13	23	6000			1	8	2	8
																																																																												15	23	6000			1	8	2	8
																																																																												14	24	6000			1	8	2	8
																																																																												11	24	6000			1	8	2	8
