			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Fly	Fly	4	 	 	 	x	32	28	24	20	0	20	40	60	80	10	5	14	7	6	5	0	0	8	10	20	30	40	"Allows your army to fly over obstacles.
You must land at the end of the turn.
Usage of movement points:

{None:} 180% 
Basic: 160% 
Advanced: 140% 
Expert: 120% "	"Allows your army to fly over obstacles.
You must land at the end of the turn.
Usage of movement points:

None: 180% 
{Basic:} 160% 
Advanced: 140% 
Expert: 120% "	"Allows your army to fly over obstacles.
You must land at the end of the turn.
Usage of movement points:

None: 180% 
Basic: 160% 
{Advanced:} 140% 
Expert: 120% "	"Allows your army to fly over obstacles.
You must land at the end of the turn.
Usage of movement points:

None: 180% 
Basic: 160% 
Advanced: 140% 
{Expert:} 120% "	 ADV_SPELL
Water Walk	Water Walk	4	 	x	 	 	32	28	24	20	0	40	60	80	100	12	13	7	4	8	3	0	0	8	5	10	15	20	"Allows your army to walk across water.
You must end your movement on land.
Usage of movement points:

{None:} 180% 
Basic: 160% 
Advanced: 140% 
Expert: 120% "	"Allows your army to walk across water.
You must end your movement on land.
Usage of movement points:

None: 180% 
{Basic:} 160% 
Advanced: 140% 
Expert: 120% "	"Allows your army to walk across water.
You must end your movement on land.
Usage of movement points:

None: 180% 
Basic: 160% 
{Advanced:} 140% 
Expert: 120% "	"Allows your army to walk across water.
You must end your movement on land.
Usage of movement points:

None: 180% 
Basic: 160% 
Advanced: 140% 
{Expert:} 120% "	 ADV_SPELL
Dimension Door	Dimension Door	5	 	x	 	 	40	35	30	25	0	1	2	3	4	0	19	10	6	11	5	0	0	12	15	30	45	60	"You may teleport your hero to an unoccupied (but not necessarily visible) location on the adventure map a set number of times per day.

{None:} once 
Basic: 2 times 
Advanced: 3 times 
Expert: 4 times "	"You may teleport your hero to an unoccupied (but not necessarily visible) location on the adventure map a set number of times per day.

None: once 
{Basic:} 2 times 
Advanced: 3 times 
Expert: 4 times "	"You may teleport your hero to an unoccupied (but not necessarily visible) location on the adventure map a set number of times per day.

None: once 
Basic: 2 times 
{Advanced:} 3 times 
Expert: 4 times "	"You may teleport your hero to an unoccupied (but not necessarily visible) location on the adventure map a set number of times per day.

None: once 
Basic: 2 times 
Advanced: 3 times 
{Expert:} 4 times "	 ADV_SPELL
Town Portal	Town Portal	5	x	 	 	 	40	35	30	25	0	100	80	60	40	0	19	13	15	27	20	0	0	13	5	5	60	60	"Teleports your hero to a friendly unoccupied town, your hero expends up to all remaining movement points.

{None:} nearest town, up to all.
Basic: nearest town, up to 80%.
Advanced: any town, up to 60%.
Expert: any town, up to 40%."	"Teleports your hero to a friendly unoccupied town, your hero expends up to all remaining movement points.

None: nearest town, up to all.
{Basic:} nearest town, up to 80%.
Advanced: any town, up to 60%.
Expert: any town, up to 40%."	"Teleports your hero to a friendly unoccupied town, your hero expends up to all remaining movement points.

None: nearest town, up to all.
Basic: nearest town, up to 80%.
{Advanced:} any town, up to 60%.
Expert: any town, up to 40%."	"Teleports your hero to a friendly unoccupied town, your hero expends up to all remaining movement points.

None: nearest town, up to all.
Basic: nearest town, up to 80%.
Advanced: any town, up to 60%.
{Expert:} any town, up to 40%."	 ADV_SPELL

Combat Spells																																	

Quicksand	Quicksand	1	x	 	 	 	8	7	6	5	0	0	0	0	0	4	7	4	5	9	7	5	6	5	1	1	1	1	"Randomly places several patches of quicksand on the battlefield which are only visible to the caster and creatures native to the terrain. Walking into quicksand ends a unit's movement for the turn and makes it visible to all.

{None:} 8 patches 
Basic: 10 patches 
Advanced: 12 patches 
Expert: 14 patches "	"Randomly places several patches of quicksand on the battlefield which are only visible to the caster and creatures native to the terrain. Walking into quicksand ends a unit's movement for the turn and makes it visible to all.

None: 8 patches 
{Basic:} 10 patches 
Advanced: 12 patches 
Expert: 14 patches "	"Randomly places several patches of quicksand on the battlefield which are only visible to the caster and creatures native to the terrain. Walking into quicksand ends a unit's movement for the turn and makes it visible to all.

None: 8 patches 
Basic: 10 patches 
{Advanced:} 12 patches 
Expert: 14 patches "	"Randomly places several patches of quicksand on the battlefield which are only visible to the caster and creatures native to the terrain. Walking into quicksand ends a unit's movement for the turn and makes it visible to all.

None: 8 patches 
Basic: 10 patches 
Advanced: 12 patches 
{Expert:} 14 patches "	 COMBAT_SPELL|LOCATION_TARGET
Land Mine	Land Mine	1	 	 	x	 	8	7	6	5	10	15	30	45	60	2	1	2	7	2	6	5	3	5	10	15	20	25	"Randomly places several small areas of landmines on the battlefield which are only visible to the caster and creatures native to the terrain. It inflicts damage to any unit walking over it.

{None:} 10 * Power + 15 damage, 4 mines 
Basic: 10 * Power + 30 damage, 4 mines 
Advanced: 10 * Power + 45 damage, 6 mines 
Expert: 10 * Power + 60 damage, 8 mines 
"	"Randomly places several small areas of landmines on the battlefield which are only visible to the caster and creatures native to the terrain. It inflicts damage to any unit walking over it.

None: 10 * Power + 15 damage, 4 mines 
{Basic:} 10 * Power + 30 damage, 4 mines 
Advanced: 10 * Power + 45 damage, 6 mines 
Expert: 10 * Power + 60 damage, 8 mines 
"	"Randomly places several small areas of landmines on the battlefield which are only visible to the caster and creatures native to the terrain. It inflicts damage to any unit walking over it.

None: 10 * Power + 15 damage, 4 mines 
Basic: 10 * Power + 30 damage, 4 mines 
{Advanced:} 10 * Power + 45 damage, 6 mines 
Expert: 10 * Power + 60 damage, 8 mines 
"	"Randomly places several small areas of landmines on the battlefield which are only visible to the caster and creatures native to the terrain. It inflicts damage to any unit walking over it.

None: 10 * Power + 15 damage, 4 mines 
Basic: 10 * Power + 30 damage, 4 mines 
Advanced: 10 * Power + 45 damage, 6 mines 
{Expert:} 10 * Power + 60 damage, 8 mines 
"	 COMBAT_SPELL|LOCATION_TARGET
Force Field	Force Field	2	x	 	 	 	16	14	12	10	0	0	0	0	0	5	9	6	7	11	10	8	8	6	1	1	1	1	"Places a Force Field on the battlefield at a point specified by the caster. It works like an obstacle.
Size of the Force Field:

{None:} 2 tiles 
Basic: 2 tiles 
Advanced: 3 tiles 
Expert: 3 tiles "	"Places a Force Field on the battlefield at a point specified by the caster. It works like an obstacle.
Size of the Force Field:

None: 2 tiles 
{Basic:} 2 tiles 
Advanced: 3 tiles 
Expert: 3 tiles "	"Places a Force Field on the battlefield at a point specified by the caster. It works like an obstacle.
Size of the Force Field:

None: 2 tiles 
Basic: 2 tiles 
{Advanced:} 3 tiles 
Expert: 3 tiles "	"Places a Force Field on the battlefield at a point specified by the caster. It works like an obstacle.
Size of the Force Field:

None: 2 tiles 
Basic: 2 tiles 
Advanced: 3 tiles 
{Expert:} 3 tiles "	 COMBAT_SPELL|LOCATION_TARGET
Fire Wall	Fire Wall	2	 	 	x	 	16	14	12	10	15	30	60	90	120	4	2	3	10	3	9	6	4	7	10	15	20	25	"Places a wall of fire on the battlefield at a point specified by caster. Any units passing through the wall take damage.
Size and damage of the fire wall:

{None:} 15 * Power + 30 damage, 2 tiles 
Basic: 15 * Power + 60 damage, 2 tiles 
Advanced: 15 * Power + 90 damage, 3 tiles 
Expert: 15 * Power + 120 damage, 3 tiles 
"	"Places a wall of fire on the battlefield at a point specified by caster. Any units passing through the wall take damage.
Size and damage of the fire wall:

None: 15 * Power + 30 damage, 2 tiles 
{Basic:} 15 * Power + 60 damage, 2 tiles 
Advanced: 15 * Power + 90 damage, 3 tiles 
Expert: 15 * Power + 120 damage, 3 tiles 
"	"Places a wall of fire on the battlefield at a point specified by caster. Any units passing through the wall take damage.
Size and damage of the fire wall:

None: 15 * Power + 30 damage, 2 tiles 
Basic: 15 * Power + 60 damage, 2 tiles 
{Advanced:} 15 * Power + 90 damage, 3 tiles 
Expert: 15 * Power + 120 damage, 3 tiles 
"	"Places a wall of fire on the battlefield at a point specified by caster. Any units passing through the wall take damage.
Size and damage of the fire wall:

None: 15 * Power + 30 damage, 2 tiles 
Basic: 15 * Power + 60 damage, 2 tiles 
Advanced: 15 * Power + 90 damage, 3 tiles 
{Expert:} 15 * Power + 120 damage, 3 tiles 
"	 COMBAT_SPELL|LOCATION_TARGET
Earthquake	Earthquake	2	x	 	 	 	16	14	12	10	1	1	2	3	4	5	9	6	7	11	10	8	8	6	1	1	1	1	"Randomly damages several sections of castle wall in combat. 

{None:} 1 section 
Basic: 2 sections 
Advanced: 3 sections 
Expert: 4 sections "	"Randomly damages several sections of castle wall in combat. 

None: 1 section 
{Basic:} 2 sections 
Advanced: 3 sections 
Expert: 4 sections "	"Randomly damages several sections of castle wall in combat. 

None: 1 section 
Basic: 2 sections 
{Advanced:} 3 sections 
Expert: 4 sections "	"Randomly damages several sections of castle wall in combat. 

None: 1 section 
Basic: 2 sections 
Advanced: 3 sections 
{Expert:} 4 sections "	 COMBAT_SPELL
Magic Arrow	Magic Arrow	1	x	x	x	x	8	7	6	5	15	30	60	90	120	10	10	10	10	10	10	10	10	10	10	15	20	25	"Causes a bolt of magical energy to strike the selected enemy unit. 

{None:} 15 * Power + 30 damage 
Basic: 15 * Power + 60 damage 
Advanced: 15 * Power + 90 damage 
Expert: 15 * Power + 120 damage 
"	"Causes a bolt of magical energy to strike the selected enemy unit. 

None: 15 * Power + 30 damage 
{Basic:} 15 * Power + 60 damage 
Advanced: 15 * Power + 90 damage 
Expert: 15 * Power + 120 damage 
"	"Causes a bolt of magical energy to strike the selected enemy unit. 

None: 15 * Power + 30 damage 
Basic: 15 * Power + 60 damage 
{Advanced:} 15 * Power + 90 damage 
Expert: 15 * Power + 120 damage 
"	"Causes a bolt of magical energy to strike the selected enemy unit. 

None: 15 * Power + 30 damage 
Basic: 15 * Power + 60 damage 
Advanced: 15 * Power + 90 damage 
{Expert:} 15 * Power + 120 damage 
"	 COMBAT_SPELL|CREATURE_TARGET
Ice Bolt	Ice Bolt	2	 	x	 	 	16	14	12	10	30	60	120	180	240	9	9	5	3	8	2	4	7	7	20	25	30	35	"Drains the body heat from the selected enemy unit.

{None:} 30 * Power + 60 damage 
Basic: 30 * Power + 120 damage 
Advanced: 30 * Power + 180 damage 
Expert: 30 * Power + 240 damage 
"	"Drains the body heat from the selected enemy unit.

None: 30 * Power + 60 damage 
{Basic:} 30 * Power + 120 damage 
Advanced: 30 * Power + 180 damage 
Expert: 30 * Power + 240 damage 
"	"Drains the body heat from the selected enemy unit.

None: 30 * Power + 60 damage 
Basic: 30 * Power + 120 damage 
{Advanced:} 30 * Power + 180 damage 
Expert: 30 * Power + 240 damage 
"	"Drains the body heat from the selected enemy unit.

None: 30 * Power + 60 damage 
Basic: 30 * Power + 120 damage 
Advanced: 30 * Power + 180 damage 
{Expert:} 30 * Power + 240 damage 
"	 COMBAT_SPELL|CREATURE_TARGET
Lightning Bolt	Lightning Bolt	3	 	 	 	x	24	21	18	15	40	80	160	240	320	10	6	14	7	10	5	10	7	9	30	35	40	45	"Causes a bolt of lightning to strike the selected unit.

{None:} 40 * Power + 80 damage 
Basic: 40 * Power + 160 damage 
Advanced: 40 * Power + 240 damage 
Expert: 40 * Power + 320 damage 
"	"Causes a bolt of lightning to strike the selected unit.

None: 40 * Power + 80 damage 
{Basic:} 40 * Power + 160 damage 
Advanced: 40 * Power + 240 damage 
Expert: 40 * Power + 320 damage 
"	"Causes a bolt of lightning to strike the selected unit.

None: 40 * Power + 80 damage 
Basic: 40 * Power + 160 damage 
{Advanced:} 40 * Power + 240 damage 
Expert: 40 * Power + 320 damage 
"	"Causes a bolt of lightning to strike the selected unit.

None: 40 * Power + 80 damage 
Basic: 40 * Power + 160 damage 
Advanced: 40 * Power + 240 damage 
{Expert:} 40 * Power + 320 damage 
"	 COMBAT_SPELL|CREATURE_TARGET
Implosion	Implosion	5	x	 	 	 	40	35	30	25	60	120	240	360	480	0	19	13	15	30	20	0	0	13	50	55	60	65	"Inflicts massive damage to a single creature stack.

{None:} 60 * Power + 120 damage 
Basic: 60 * Power + 240 damage 
Advanced: 60 * Power + 360 damage 
Expert: 60 * Power + 480 damage 
"	"Inflicts massive damage to a single creature stack.

None: 60 * Power + 120 damage 
{Basic:} 60 * Power + 240 damage 
Advanced: 60 * Power + 360 damage 
Expert: 60 * Power + 480 damage 
"	"Inflicts massive damage to a single creature stack.

None: 60 * Power + 120 damage 
Basic: 60 * Power + 240 damage 
{Advanced:} 60 * Power + 360 damage 
Expert: 60 * Power + 480 damage 
"	"Inflicts massive damage to a single creature stack.

None: 60 * Power + 120 damage 
Basic: 60 * Power + 240 damage 
Advanced: 60 * Power + 360 damage 
{Expert:} 60 * Power + 480 damage 
"	 COMBAT_SPELL|CREATURE_TARGET
Chain Lightning	Chain Lightning	4	 	 	 	x	32	28	24	20	45	90	180	270	360	10	5	14	7	6	5	0	0	8	40	45	50	55	"Fires a bolt of lightning at the selected unit which then travels to the nearest adjacent unit, inflicting half damage before traveling to the next adjacent unit, again inflicting half damage, etc.

{None:} 45 * Power + 90 initial damage, strikes 4 units 
Basic: 45 * Power + 180 initial damage, strikes 4 units 
Advanced: 45 * Power + 270 initial damage, strikes 5 units 
Expert: 45 * Power + 360 initial damage, strikes 5 units 
"	"Fires a bolt of lightning at the selected unit which then travels to the nearest adjacent unit, inflicting half damage before traveling to the next adjacent unit, again inflicting half damage, etc.

None: 45 * Power + 90 initial damage, strikes 4 units 
{Basic:} 45 * Power + 180 initial damage, strikes 4 units 
Advanced: 45 * Power + 270 initial damage, strikes 5 units 
Expert: 45 * Power + 360 initial damage, strikes 5 units 
"	"Fires a bolt of lightning at the selected unit which then travels to the nearest adjacent unit, inflicting half damage before traveling to the next adjacent unit, again inflicting half damage, etc.

None: 45 * Power + 90 initial damage, strikes 4 units 
Basic: 45 * Power + 180 initial damage, strikes 4 units 
{Advanced:} 45 * Power + 270 initial damage, strikes 5 units 
Expert: 45 * Power + 360 initial damage, strikes 5 units 
"	"Fires a bolt of lightning at the selected unit which then travels to the nearest adjacent unit, inflicting half damage before traveling to the next adjacent unit, again inflicting half damage, etc.

None: 45 * Power + 90 initial damage, strikes 4 units 
Basic: 45 * Power + 180 initial damage, strikes 4 units 
Advanced: 45 * Power + 270 initial damage, strikes 5 units 
{Expert:} 45 * Power + 360 initial damage, strikes 5 units 
"	 COMBAT_SPELL|CREATURE_TARGET
Frost Ring	Frost Ring	3	 	x	 	 	24	21	18	15	20	40	80	120	160	12	12	7	4	8	3	5	10	9	30	35	40	45	"Drains the body heat of any units adjacent to the target location, without inflicting damage on the target.

{None:} 20 * Power + 40 damage 
Basic: 20 * Power + 80 damage 
Advanced: 20 * Power + 120 damage 
Expert: 20 * Power + 160 damage 
"	"Drains the body heat of any units adjacent to the target location, without inflicting damage on the target.

None: 20 * Power + 40 damage 
{Basic:} 20 * Power + 80 damage 
Advanced: 20 * Power + 120 damage 
Expert: 20 * Power + 160 damage 
"	"Drains the body heat of any units adjacent to the target location, without inflicting damage on the target.

None: 20 * Power + 40 damage 
Basic: 20 * Power + 80 damage 
{Advanced:} 20 * Power + 120 damage 
Expert: 20 * Power + 160 damage 
"	"Drains the body heat of any units adjacent to the target location, without inflicting damage on the target.

None: 20 * Power + 40 damage 
Basic: 20 * Power + 80 damage 
Advanced: 20 * Power + 120 damage 
{Expert:} 20 * Power + 160 damage 
"	 COMBAT_SPELL|LOCATION_TARGET
Fireball	Fireball	3	 	 	x	 	24	21	18	15	20	40	80	120	160	4	2	5	13	4	12	9	6	9	30	35	40	45	"Causes the selected target to burst into flames, inflicting fire damage to the target and any adjacent units.

{None:} 20 * Power + 40 damage 
Basic: 20 * Power + 80 damage 
Advanced: 20 * Power + 120 damage 
Expert: 20 * Power + 160 damage 
"	"Causes the selected target to burst into flames, inflicting fire damage to the target and any adjacent units.

None: 20 * Power + 40 damage 
{Basic:} 20 * Power + 80 damage 
Advanced: 20 * Power + 120 damage 
Expert: 20 * Power + 160 damage 
"	"Causes the selected target to burst into flames, inflicting fire damage to the target and any adjacent units.

None: 20 * Power + 40 damage 
Basic: 20 * Power + 80 damage 
{Advanced:} 20 * Power + 120 damage 
Expert: 20 * Power + 160 damage 
"	"Causes the selected target to burst into flames, inflicting fire damage to the target and any adjacent units.

None: 20 * Power + 40 damage 
Basic: 20 * Power + 80 damage 
Advanced: 20 * Power + 120 damage 
{Expert:} 20 * Power + 160 damage 
"	 COMBAT_SPELL|LOCATION_TARGET
Inferno	Inferno	4	 	 	x	 	32	28	24	20	30	60	120	180	240	4	2	4	13	4	12	0	0	10	40	45	50	55	"Causes a huge blast of fire to strike the selected target.

{None:} 30 * Power + 60 damage 
Basic: 30 * Power + 120 damage 
Advanced: 30 * Power + 180 damage 
Expert: 30 * Power + 240 damage 
"	"Causes a huge blast of fire to strike the selected target.

None: 30 * Power + 60 damage 
{Basic:} 30 * Power + 120 damage 
Advanced: 30 * Power + 180 damage 
Expert: 30 * Power + 240 damage 
"	"Causes a huge blast of fire to strike the selected target.

None: 30 * Power + 60 damage 
Basic: 30 * Power + 120 damage 
{Advanced:} 30 * Power + 180 damage 
Expert: 30 * Power + 240 damage 
"	"Causes a huge blast of fire to strike the selected target.

None: 30 * Power + 60 damage 
Basic: 30 * Power + 120 damage 
Advanced: 30 * Power + 180 damage 
{Expert:} 30 * Power + 240 damage 
"	 COMBAT_SPELL|LOCATION_TARGET
Meteor Shower	Meteor Shower	4	x	 	 	 	32	28	24	20	30	60	120	180	240	11	20	12	14	23	20	0	0	12	40	45	50	55	"Causes a meteor shower to rain down on the selected target and any adjacent units.

{None:} 30 * Power + 60 damage 
Basic: 30 * Power + 120 damage 
Advanced: 30 * Power + 180 damage 
Expert: 30 * Power + 240 damage 
"	"Causes a meteor shower to rain down on the selected target and any adjacent units.

None: 30 * Power + 60 damage 
{Basic:} 30 * Power + 120 damage 
Advanced: 30 * Power + 180 damage 
Expert: 30 * Power + 240 damage 
"	"Causes a meteor shower to rain down on the selected target and any adjacent units.

None: 30 * Power + 60 damage 
Basic: 30 * Power + 120 damage 
{Advanced:} 30 * Power + 180 damage 
Expert: 30 * Power + 240 damage 
"	"Causes a meteor shower to rain down on the selected target and any adjacent units.

None: 30 * Power + 60 damage 
Basic: 30 * Power + 120 damage 
Advanced: 30 * Power + 180 damage 
{Expert:} 30 * Power + 240 damage 
"	 COMBAT_SPELL|LOCATION_TARGET
Death Ripple	Death Ripple	3	x	 	 	 	24	21	18	15	20	40	80	120	160	0	0	0	0	15	0	0	0	0	30	35	40	45	"Sends a wave of death across the battlefield which damages all living units.

{None:} 20 * Power + 40 damage 
Basic: 20 * Power + 80 damage 
Advanced: 20 * Power + 120 damage 
Expert: 20 * Power + 160 damage 
"	"Sends a wave of death across the battlefield which damages all living units.

None: 20 * Power + 40 damage 
{Basic:} 20 * Power + 80 damage 
Advanced: 20 * Power + 120 damage 
Expert: 20 * Power + 160 damage 
"	"Sends a wave of death across the battlefield which damages all living units.

None: 20 * Power + 40 damage 
Basic: 20 * Power + 80 damage 
{Advanced:} 20 * Power + 120 damage 
Expert: 20 * Power + 160 damage 
"	"Sends a wave of death across the battlefield which damages all living units.

None: 20 * Power + 40 damage 
Basic: 20 * Power + 80 damage 
Advanced: 20 * Power + 120 damage 
{Expert:} 20 * Power + 160 damage 
"	 COMBAT_SPELL
Destroy Undead	Destroy Undead	3	 	 	 	x	24	21	18	15	20	40	80	120	160	10	6	14	7	0	5	10	7	9	30	35	40	45	"Attempts to destroy any undead creatures on the battlefield.

{None:} 20 * Power + 40 damage 
Basic: 20 * Power + 80 damage 
Advanced: 20 * Power + 120 damage 
Expert: 20 * Power + 160 damage 
"	"Attempts to destroy any undead creatures on the battlefield.

None: 20 * Power + 40 damage 
{Basic:} 20 * Power + 80 damage 
Advanced: 20 * Power + 120 damage 
Expert: 20 * Power + 160 damage 
"	"Attempts to destroy any undead creatures on the battlefield.

None: 20 * Power + 40 damage 
Basic: 20 * Power + 80 damage 
{Advanced:} 20 * Power + 120 damage 
Expert: 20 * Power + 160 damage 
"	"Attempts to destroy any undead creatures on the battlefield.

None: 20 * Power + 40 damage 
Basic: 20 * Power + 80 damage 
Advanced: 20 * Power + 120 damage 
{Expert:} 20 * Power + 160 damage 
"	 COMBAT_SPELL
Armageddon	Armageddon	5	 	 	x	 	40	35	30	25	40	80	160	240	320	0	3	6	19	6	18	0	0	0	50	55	60	65	"Rains fire down upon the battlefield, damaging all units.

{None:} 40 * Power + 80 damage 
Basic: 40 * Power + 160 damage 
Advanced: 40 * Power + 240 damage 
Expert: 40 * Power + 320 damage 
"	"Rains fire down upon the battlefield, damaging all units.

None: 40 * Power + 80 damage 
{Basic:} 40 * Power + 160 damage 
Advanced: 40 * Power + 240 damage 
Expert: 40 * Power + 320 damage 
"	"Rains fire down upon the battlefield, damaging all units.

None: 40 * Power + 80 damage 
Basic: 40 * Power + 160 damage 
{Advanced:} 40 * Power + 240 damage 
Expert: 40 * Power + 320 damage 
"	"Rains fire down upon the battlefield, damaging all units.

None: 40 * Power + 80 damage 
Basic: 40 * Power + 160 damage 
Advanced: 40 * Power + 240 damage 
{Expert:} 40 * Power + 320 damage 
"	 COMBAT_SPELL
Shield	Shield	1	x	 	 	 	8	7	6	5	0	90	80	70	70	4	7	4	5	9	7	5	6	5	5	10	15	30	"Shields a selected unit, reducing the amount of damage received from melee attacks by fixed percentage.

{None:} 10% 
Basic: 20% 
Advanced: 30% 
Expert: 30%, affects all friendly units "	"Shields a selected unit, reducing the amount of damage received from melee attacks by fixed percentage.

None: 10% 
{Basic:} 20% 
Advanced: 30% 
Expert: 30%, affects all friendly units "	"Shields a selected unit, reducing the amount of damage received from melee attacks by fixed percentage.

None: 10% 
Basic: 20% 
{Advanced:} 30% 
Expert: 30%, affects all friendly units "	"Shields a selected unit, reducing the amount of damage received from melee attacks by fixed percentage.

None: 10% 
Basic: 20% 
Advanced: 30% 
{Expert:} 30%, affects all friendly units "	 COMBAT_SPELL|CREATURE_TARGET_2
Air Shield	Air Shield	1	 	 	 	x	8	7	6	5	0	90	80	70	70	5	3	8	4	3	3	5	4	4	5	10	15	30	"Shields a selected unit, reducing the amount of damage received from ranged attacks by fixed percentage.

{None:} 10% 
Basic: 20% 
Advanced: 30% 
Expert: 30%, affects all friendly units "	"Shields a selected unit, reducing the amount of damage received from ranged attacks by fixed percentage.

None: 10% 
{Basic:} 20% 
Advanced: 30% 
Expert: 30%, affects all friendly units "	"Shields a selected unit, reducing the amount of damage received from ranged attacks by fixed percentage.

None: 10% 
Basic: 20% 
{Advanced:} 30% 
Expert: 30%, affects all friendly units "	"Shields a selected unit, reducing the amount of damage received from ranged attacks by fixed percentage.

None: 10% 
Basic: 20% 
Advanced: 30% 
{Expert:} 30%, affects all friendly units "	 COMBAT_SPELL|CREATURE_TARGET_2
