TYPE 17 (one creature)	Type of creature	101 = frames in zlagport.def	TYPE 20 (to 4 types of creatures, use -1 in order to disable slot)	Creature ¹1	Creature ¹2	Creature ¹3	Creature ¹4	2 = frames in zlagport.def
Frozen Cliffs	132 Azure Dragons	062	062	-1	-1	-1	-1	
Crystal Cavern	133 Crystal Dragons	063	063	-1	-1	-1	-1	
Magic Forest	134 Faerie Dragons	064	064	-1	-1	-1	-1	
Sulfurous Lair	135 Rust Dragons	065	065	-1	-1	-1	-1	
Enchanter's Hollow	136 Enchanters	066	066	-1	-1	-1	-1	
Treetop Tower	137 Sharpshooters	067	067	-1	-1	-1	-1	
Unicorn Glade	024 Unicorns	068	068	-1	-1	-1	-1	
Altar of Air	112 Air Elementals	069	069	-1	-1	-1	-1	
Altar of Earth	113 Earth Elementals	070	070	-1	-1	-1	-1	
Altar of Fire	114 Fire Elementals	071	071	-1	-1	-1	-1	
Altar of Water	115 Water Elementals	072	072	-1	-1	-1	-1	
Thatched Hut	138 Halflings	073	073	-1	-1	-1	-1	
Hovel	139 Peasants	074	074	-1	-1	-1	-1	
Boar Glen	140 Boars	075	075	-1	-1	-1	-1	
Tomb of Curses	141 Mummies	076	076	-1	-1	-1	-1	
Nomad Tent	142 Nomads	077	077	-1	-1	-1	-1	
Rogue Cavern	143 Rogues	078	078	-1	-1	-1	-1	
Troll Bridge	144 Trolls	079	079	-1	-1	-1	-1	
Portal of Splendor	150 Supreme Archangels	080	080	-1	-1	-1	-1	
Dragon Peaks	151 Diamond Dragons	081	081	-1	-1	-1	-1	
Storm Temple	152 Lords of Thunder	082	082	-1	-1	-1	-1	
Unholy Palace	153 Hell Barrons	083	083	-1	-1	-1	-1	
Spectral Vault	154 Blood Dragons	084	084	-1	-1	-1	-1	
Cave of Darkness	155 Darkness Dragons	085	085	-1	-1	-1	-1	
Behemoth Tomb	156 Ghost Behemoths	086	086	-1	-1	-1	-1	
Chaos Pool	157 Hell Hydras	087	087	-1	-1	-1	-1	
Spirit Pyre	158 Sacred Phoenixes	088	088	-1	-1	-1	-1	
Rock Covered Position	171 Lava Sharpshooters	089	089	-1	-1	-1	-1	
Snow Covered Position	170 Arctic Sharpshooters	090	090	-1	-1	-1	-1	
Vast Cavern	168 Gorynyches	091	091	-1	-1	-1	-1	
Dream Horse-shoe	172 Nightmares	092	092	-1	-1	-1	-1	
Natural Calamity	164 Messengers	093	093	-1	-1	-1	-1	
Lost Friary	169 War Zealots	094	094	-1	-1	-1	-1	
Snowman	173 Santa Gremlins	095	095	-1	-1	-1	-1	
Sylvan Homestead	192 Sylvan Centaur	096	096	-1	-1	-1	-1	
Enchanted Tower	193 Sorceress	097	097	-1	-1	-1	-1	
Howling Hollow	194 Werewolf	098	098	-1	-1	-1	-1	
Hellfire Rift	195 Hell Steed	099	099	-1	-1	-1	-1	
Dragon Graveyard	196 Dracolich	100	100	-1	-1	-1	-1	
101	-1	 	101	-1	-1	-1	-1	
102	-1	 	102	-1	-1	-1	-1	
103	-1	 	103	-1	-1	-1	-1	
104	-1	 	104	-1	-1	-1	-1	
105	-1	 	105	-1	-1	-1	-1	
106	-1	 	106	-1	-1	-1	-1	
107	-1	 	107	-1	-1	-1	-1	
108	-1	 	108	-1	-1	-1	-1	
109	-1	 	109	-1	-1	-1	-1	
110	-1	 	110	-1	-1	-1	-1	
111	-1	 	111	-1	-1	-1	-1	
112	-1	 	112	-1	-1	-1	-1	
113	-1	 	113	-1	-1	-1	-1	
114	-1	 	114	-1	-1	-1	-1	
115	-1	 	115	-1	-1	-1	-1	
116	-1	 	116	-1	-1	-1	-1	
117	-1	 	117	-1	-1	-1	-1	
118	-1	 	118	-1	-1	-1	-1	
119	-1	 	119	-1	-1	-1	-1	
120	-1	 	120	-1	-1	-1	-1	
121	-1	 	121	-1	-1	-1	-1	
122	-1	 	122	-1	-1	-1	-1	
123	-1	 	123	-1	-1	-1	-1	
124	-1	 	124	-1	-1	-1	-1	
125	-1	 	125	-1	-1	-1	-1	
126	-1	 	126	-1	-1	-1	-1	
127	-1		127	-1	-1	-1	-1	
128	-1		128	-1	-1	-1	-1	
129	-1		129	-1	-1	-1	-1	
130	-1		130	-1	-1	-1	-1	
131	-1		131	-1	-1	-1	-1	
132	-1		132	-1	-1	-1	-1	
133	-1		133	-1	-1	-1	-1	
134	-1		134	-1	-1	-1	-1	
135	-1		135	-1	-1	-1	-1	
136	-1		136	-1	-1	-1	-1	
137	-1		137	-1	-1	-1	-1	
138	-1		138	-1	-1	-1	-1	
139	-1		139	-1	-1	-1	-1	
140	-1		140	-1	-1	-1	-1	
141	-1		141	-1	-1	-1	-1	
142	-1		142	-1	-1	-1	-1	
143	-1		143	-1	-1	-1	-1	
144	-1		144	-1	-1	-1	-1	
145	-1		145	-1	-1	-1	-1	
146	-1		146	-1	-1	-1	-1	
147	-1		147	-1	-1	-1	-1	
148	-1		148	-1	-1	-1	-1	
149	-1		149	-1	-1	-1	-1	
150	-1		150	-1	-1	-1	-1	
151	-1		151	-1	-1	-1	-1	
152	-1		152	-1	-1	-1	-1	
153	-1		153	-1	-1	-1	-1	
154	-1		154	-1	-1	-1	-1	
155	-1		155	-1	-1	-1	-1	
156	-1		156	-1	-1	-1	-1	
157	-1		157	-1	-1	-1	-1	
158	-1		158	-1	-1	-1	-1	
159	-1		159	-1	-1	-1	-1	
160	-1		160	-1	-1	-1	-1	
161	-1		161	-1	-1	-1	-1	
162	-1		162	-1	-1	-1	-1	
163	-1		163	-1	-1	-1	-1	
164	-1		164	-1	-1	-1	-1	
165	-1		165	-1	-1	-1	-1	
166	-1		166	-1	-1	-1	-1	
167	-1		167	-1	-1	-1	-1	
168	-1		168	-1	-1	-1	-1	
169	-1		169	-1	-1	-1	-1	
170	-1		170	-1	-1	-1	-1	
171	-1		171	-1	-1	-1	-1	
172	-1		172	-1	-1	-1	-1	
173	-1		173	-1	-1	-1	-1	
174	-1		174	-1	-1	-1	-1	
175	-1		175	-1	-1	-1	-1	
176	-1		176	-1	-1	-1	-1	
177	-1		177	-1	-1	-1	-1	
178	-1		178	-1	-1	-1	-1	
179	-1		179	-1	-1	-1	-1	
180	-1		180	-1	-1	-1	-1	
181	-1		181	-1	-1	-1	-1	
182	-1		182	-1	-1	-1	-1	
183	-1		183	-1	-1	-1	-1	
184	-1		184	-1	-1	-1	-1	
185	-1		185	-1	-1	-1	-1	
186	-1		186	-1	-1	-1	-1	
187	-1		187	-1	-1	-1	-1	
188	-1		188	-1	-1	-1	-1	
189	-1		189	-1	-1	-1	-1	
190	-1		190	-1	-1	-1	-1	
191	-1		191	-1	-1	-1	-1	
192	-1		192	-1	-1	-1	-1	
193	-1		193	-1	-1	-1	-1	
194	-1		194	-1	-1	-1	-1	
195	-1		195	-1	-1	-1	-1	
196	-1		196	-1	-1	-1	-1	
197	-1		197	-1	-1	-1	-1	
198	-1		198	-1	-1	-1	-1	
199	-1		199	-1	-1	-1	-1	
200	-1		200	-1	-1	-1	-1	
201	-1		201	-1	-1	-1	-1	
202	-1		202	-1	-1	-1	-1	
203	-1		203	-1	-1	-1	-1	
204	-1		204	-1	-1	-1	-1	
205	-1		205	-1	-1	-1	-1	
206	-1		206	-1	-1	-1	-1	
207	-1		207	-1	-1	-1	-1	
208	-1		208	-1	-1	-1	-1	
209	-1		209	-1	-1	-1	-1	
210	-1		210	-1	-1	-1	-1	
211	-1		211	-1	-1	-1	-1	
212	-1		212	-1	-1	-1	-1	
213	-1		213	-1	-1	-1	-1	
214	-1		214	-1	-1	-1	-1	
215	-1		215	-1	-1	-1	-1	
216	-1		216	-1	-1	-1	-1	
217	-1		217	-1	-1	-1	-1	
218	-1		218	-1	-1	-1	-1	
219	-1		219	-1	-1	-1	-1	
220	-1		220	-1	-1	-1	-1	
221	-1		221	-1	-1	-1	-1	
222	-1		222	-1	-1	-1	-1	
223	-1		223	-1	-1	-1	-1	
224	-1		224	-1	-1	-1	-1	
225	-1		225	-1	-1	-1	-1	
226	-1		226	-1	-1	-1	-1	
227	-1		227	-1	-1	-1	-1	
228	-1		228	-1	-1	-1	-1	
229	-1		229	-1	-1	-1	-1	
230	-1		230	-1	-1	-1	-1	
231	-1		231	-1	-1	-1	-1	
232	-1		232	-1	-1	-1	-1	
233	-1		233	-1	-1	-1	-1	
234	-1		234	-1	-1	-1	-1	
235	-1		235	-1	-1	-1	-1	
236	-1		236	-1	-1	-1	-1	
237	-1		237	-1	-1	-1	-1	
238	-1		238	-1	-1	-1	-1	
239	-1		239	-1	-1	-1	-1	
240	-1		240	-1	-1	-1	-1	
241	-1		241	-1	-1	-1	-1	
242	-1		242	-1	-1	-1	-1	
243	-1		243	-1	-1	-1	-1	
244	-1		244	-1	-1	-1	-1	
245	-1		245	-1	-1	-1	-1	
246	-1		246	-1	-1	-1	-1	
247	-1		247	-1	-1	-1	-1	
248	-1		248	-1	-1	-1	-1	
249	-1		249	-1	-1	-1	-1	
250	-1		250	-1	-1	-1	-1	
251	-1		251	-1	-1	-1	-1	
252	-1		252	-1	-1	-1	-1	
253	-1		253	-1	-1	-1	-1	
254	-1		254	-1	-1	-1	-1	
255	-1		255	-1	-1	-1	-1	
256	-1		256	-1	-1	-1	-1	
257	-1		257	-1	-1	-1	-1	
258	-1		258	-1	-1	-1	-1	
259	-1		259	-1	-1	-1	-1	
260	-1		260	-1	-1	-1	-1	
261	-1		261	-1	-1	-1	-1	
262	-1		262	-1	-1	-1	-1	
263	-1		263	-1	-1	-1	-1	
264	-1		264	-1	-1	-1	-1	
265	-1		265	-1	-1	-1	-1	
266	-1		266	-1	-1	-1	-1	
267	-1		267	-1	-1	-1	-1	
268	-1		268	-1	-1	-1	-1	
269	-1		269	-1	-1	-1	-1	
270	-1		270	-1	-1	-1	-1	
271	-1		271	-1	-1	-1	-1	
272	-1		272	-1	-1	-1	-1	
273	-1		273	-1	-1	-1	-1	
274	-1		274	-1	-1	-1	-1	
275	-1		275	-1	-1	-1	-1	
276	-1		276	-1	-1	-1	-1	
277	-1		277	-1	-1	-1	-1	
278	-1		278	-1	-1	-1	-1	
279	-1		279	-1	-1	-1	-1	
280	-1		280	-1	-1	-1	-1	
281	-1		281	-1	-1	-1	-1	
282	-1		282	-1	-1	-1	-1	
283	-1		283	-1	-1	-1	-1	
284	-1		284	-1	-1	-1	-1	
285	-1		285	-1	-1	-1	-1	
286	-1		286	-1	-1	-1	-1	
287	-1		287	-1	-1	-1	-1	
288	-1		288	-1	-1	-1	-1	
289	-1		289	-1	-1	-1	-1	
290	-1		290	-1	-1	-1	-1	
291	-1		291	-1	-1	-1	-1	
292	-1		292	-1	-1	-1	-1	
293	-1		293	-1	-1	-1	-1	
294	-1		294	-1	-1	-1	-1	
295	-1		295	-1	-1	-1	-1	
296	-1		296	-1	-1	-1	-1	
297	-1		297	-1	-1	-1	-1	
298	-1		298	-1	-1	-1	-1	
299	-1		299	-1	-1	-1	-1	
300	-1		300	-1	-1	-1	-1	
301	-1		301	-1	-1	-1	-1	
302	-1		302	-1	-1	-1	-1	
303	-1		303	-1	-1	-1	-1	
304	-1		304	-1	-1	-1	-1	
305	-1		305	-1	-1	-1	-1	
306	-1		306	-1	-1	-1	-1	
307	-1		307	-1	-1	-1	-1	
308	-1		308	-1	-1	-1	-1	
309	-1		309	-1	-1	-1	-1	
310	-1		310	-1	-1	-1	-1	
311	-1		311	-1	-1	-1	-1	
312	-1		312	-1	-1	-1	-1	
313	-1		313	-1	-1	-1	-1	
314	-1		314	-1	-1	-1	-1	
315	-1		315	-1	-1	-1	-1	
316	-1		316	-1	-1	-1	-1	
317	-1		317	-1	-1	-1	-1	
318	-1		318	-1	-1	-1	-1	
319	-1		319	-1	-1	-1	-1	
320	-1		320	-1	-1	-1	-1	
321	-1		321	-1	-1	-1	-1	
322	-1		322	-1	-1	-1	-1	
323	-1		323	-1	-1	-1	-1	
324	-1		324	-1	-1	-1	-1	
325	-1		325	-1	-1	-1	-1	
326	-1		326	-1	-1	-1	-1	
327	-1		327	-1	-1	-1	-1	
328	-1		328	-1	-1	-1	-1	
329	-1		329	-1	-1	-1	-1	
330	-1		330	-1	-1	-1	-1	
331	-1		331	-1	-1	-1	-1	
332	-1		332	-1	-1	-1	-1	
333	-1		333	-1	-1	-1	-1	
334	-1		334	-1	-1	-1	-1	
335	-1		335	-1	-1	-1	-1	
336	-1		336	-1	-1	-1	-1	
337	-1		337	-1	-1	-1	-1	
338	-1		338	-1	-1	-1	-1	
339	-1		339	-1	-1	-1	-1	
340	-1		340	-1	-1	-1	-1	
341	-1		341	-1	-1	-1	-1	
342	-1		342	-1	-1	-1	-1	
343	-1		343	-1	-1	-1	-1	
344	-1		344	-1	-1	-1	-1	
345	-1		345	-1	-1	-1	-1	
346	-1		346	-1	-1	-1	-1	
347	-1		347	-1	-1	-1	-1	
348	-1		348	-1	-1	-1	-1	
349	-1		349	-1	-1	-1	-1	
350	-1		350	-1	-1	-1	-1	
351	-1		351	-1	-1	-1	-1	
352	-1		352	-1	-1	-1	-1	
353	-1		353	-1	-1	-1	-1	
354	-1		354	-1	-1	-1	-1	
355	-1		355	-1	-1	-1	-1	
356	-1		356	-1	-1	-1	-1	
357	-1		357	-1	-1	-1	-1	
358	-1		358	-1	-1	-1	-1	
359	-1		359	-1	-1	-1	-1	
360	-1		360	-1	-1	-1	-1	
361	-1		361	-1	-1	-1	-1	
362	-1		362	-1	-1	-1	-1	
363	-1		363	-1	-1	-1	-1	
364	-1		364	-1	-1	-1	-1	
365	-1		365	-1	-1	-1	-1	
366	-1		366	-1	-1	-1	-1	
367	-1		367	-1	-1	-1	-1	
368	-1		368	-1	-1	-1	-1	
369	-1		369	-1	-1	-1	-1	
370	-1		370	-1	-1	-1	-1	
371	-1		371	-1	-1	-1	-1	
372	-1		372	-1	-1	-1	-1	
373	-1		373	-1	-1	-1	-1	
374	-1		374	-1	-1	-1	-1	
375	-1		375	-1	-1	-1	-1	
376	-1		376	-1	-1	-1	-1	
377	-1		377	-1	-1	-1	-1	
378	-1		378	-1	-1	-1	-1	
379	-1		379	-1	-1	-1	-1	
380	-1		380	-1	-1	-1	-1	
381	-1		381	-1	-1	-1	-1	
382	-1		382	-1	-1	-1	-1	
383	-1		383	-1	-1	-1	-1	
384	-1		384	-1	-1	-1	-1	
385	-1		385	-1	-1	-1	-1	
386	-1		386	-1	-1	-1	-1	
387	-1		387	-1	-1	-1	-1	
388	-1		388	-1	-1	-1	-1	
389	-1		389	-1	-1	-1	-1	
390	-1		390	-1	-1	-1	-1	
391	-1		391	-1	-1	-1	-1	
392	-1		392	-1	-1	-1	-1	
393	-1		393	-1	-1	-1	-1	
394	-1		394	-1	-1	-1	-1	
395	-1		395	-1	-1	-1	-1	
396	-1		396	-1	-1	-1	-1	
397	-1		397	-1	-1	-1	-1	
398	-1		398	-1	-1	-1	-1	
399	-1		399	-1	-1	-1	-1	
400	-1		400	-1	-1	-1	-1	
401	-1		401	-1	-1	-1	-1	
402	-1		402	-1	-1	-1	-1	
403	-1		403	-1	-1	-1	-1	
404	-1		404	-1	-1	-1	-1	
405	-1		405	-1	-1	-1	-1	
406	-1		406	-1	-1	-1	-1	
407	-1		407	-1	-1	-1	-1	
408	-1		408	-1	-1	-1	-1	
409	-1		409	-1	-1	-1	-1	
410	-1		410	-1	-1	-1	-1	
411	-1		411	-1	-1	-1	-1	
412	-1		412	-1	-1	-1	-1	
413	-1		413	-1	-1	-1	-1	
414	-1		414	-1	-1	-1	-1	
415	-1		415	-1	-1	-1	-1	
416	-1		416	-1	-1	-1	-1	
417	-1		417	-1	-1	-1	-1	
418	-1		418	-1	-1	-1	-1	
419	-1		419	-1	-1	-1	-1	
420	-1		420	-1	-1	-1	-1	
421	-1		421	-1	-1	-1	-1	
422	-1		422	-1	-1	-1	-1	
423	-1		423	-1	-1	-1	-1	
424	-1		424	-1	-1	-1	-1	
425	-1		425	-1	-1	-1	-1	
426	-1		426	-1	-1	-1	-1	
427	-1		427	-1	-1	-1	-1	
428	-1		428	-1	-1	-1	-1	
429	-1		429	-1	-1	-1	-1	
430	-1		430	-1	-1	-1	-1	
431	-1		431	-1	-1	-1	-1	
432	-1		432	-1	-1	-1	-1	
433	-1		433	-1	-1	-1	-1	
434	-1		434	-1	-1	-1	-1	
435	-1		435	-1	-1	-1	-1	
436	-1		436	-1	-1	-1	-1	
437	-1		437	-1	-1	-1	-1	
438	-1		438	-1	-1	-1	-1	
439	-1		439	-1	-1	-1	-1	
440	-1		440	-1	-1	-1	-1	
441	-1		441	-1	-1	-1	-1	
442	-1		442	-1	-1	-1	-1	
443	-1		443	-1	-1	-1	-1	
444	-1		444	-1	-1	-1	-1	
445	-1		445	-1	-1	-1	-1	
446	-1		446	-1	-1	-1	-1	
447	-1		447	-1	-1	-1	-1	
448	-1		448	-1	-1	-1	-1	
449	-1		449	-1	-1	-1	-1	
450	-1		450	-1	-1	-1	-1	
451	-1		451	-1	-1	-1	-1	
452	-1		452	-1	-1	-1	-1	
453	-1		453	-1	-1	-1	-1	
454	-1		454	-1	-1	-1	-1	
455	-1		455	-1	-1	-1	-1	
456	-1		456	-1	-1	-1	-1	
457	-1		457	-1	-1	-1	-1	
458	-1		458	-1	-1	-1	-1	
459	-1		459	-1	-1	-1	-1	
460	-1		460	-1	-1	-1	-1	
461	-1		461	-1	-1	-1	-1	
462	-1		462	-1	-1	-1	-1	
463	-1		463	-1	-1	-1	-1	
464	-1		464	-1	-1	-1	-1	
465	-1		465	-1	-1	-1	-1	
466	-1		466	-1	-1	-1	-1	
467	-1		467	-1	-1	-1	-1	
468	-1		468	-1	-1	-1	-1	
469	-1		469	-1	-1	-1	-1	
470	-1		470	-1	-1	-1	-1	
471	-1		471	-1	-1	-1	-1	
472	-1		472	-1	-1	-1	-1	
473	-1		473	-1	-1	-1	-1	
474	-1		474	-1	-1	-1	-1	
475	-1		475	-1	-1	-1	-1	
476	-1		476	-1	-1	-1	-1	
477	-1		477	-1	-1	-1	-1	
478	-1		478	-1	-1	-1	-1	
479	-1		479	-1	-1	-1	-1	
480	-1		480	-1	-1	-1	-1	
481	-1		481	-1	-1	-1	-1	
482	-1		482	-1	-1	-1	-1	
483	-1		483	-1	-1	-1	-1	
484	-1		484	-1	-1	-1	-1	
485	-1		485	-1	-1	-1	-1	
486	-1		486	-1	-1	-1	-1	
487	-1		487	-1	-1	-1	-1	
488	-1		488	-1	-1	-1	-1	
489	-1		489	-1	-1	-1	-1	
490	-1		490	-1	-1	-1	-1	
491	-1		491	-1	-1	-1	-1	
492	-1		492	-1	-1	-1	-1	
493	-1		493	-1	-1	-1	-1	
494	-1		494	-1	-1	-1	-1	
495	-1		495	-1	-1	-1	-1	
496	-1		496	-1	-1	-1	-1	
497	-1		497	-1	-1	-1	-1	
498	-1		498	-1	-1	-1	-1	
499	-1		499	-1	-1	-1	-1	
500	-1		500	-1	-1	-1	-1	
501	-1		501	-1	-1	-1	-1	
502	-1		502	-1	-1	-1	-1	
503	-1		503	-1	-1	-1	-1	
504	-1		504	-1	-1	-1	-1	
505	-1		505	-1	-1	-1	-1	
506	-1		506	-1	-1	-1	-1	
507	-1		507	-1	-1	-1	-1	
508	-1		508	-1	-1	-1	-1	
509	-1		509	-1	-1	-1	-1	
510	-1		510	-1	-1	-1	-1	
511	-1		511	-1	-1	-1	-1	
512	-1		512	-1	-1	-1	-1	
513	-1		513	-1	-1	-1	-1	
514	-1		514	-1	-1	-1	-1	
515	-1		515	-1	-1	-1	-1	
516	-1		516	-1	-1	-1	-1	
517	-1		517	-1	-1	-1	-1	
518	-1		518	-1	-1	-1	-1	
519	-1		519	-1	-1	-1	-1	
520	-1		520	-1	-1	-1	-1	
521	-1		521	-1	-1	-1	-1	
522	-1		522	-1	-1	-1	-1	
523	-1		523	-1	-1	-1	-1	
524	-1		524	-1	-1	-1	-1	
525	-1		525	-1	-1	-1	-1	
526	-1		526	-1	-1	-1	-1	
527	-1		527	-1	-1	-1	-1	
528	-1		528	-1	-1	-1	-1	
529	-1		529	-1	-1	-1	-1	
530	-1		530	-1	-1	-1	-1	
531	-1		531	-1	-1	-1	-1	
532	-1		532	-1	-1	-1	-1	
533	-1		533	-1	-1	-1	-1	
534	-1		534	-1	-1	-1	-1	
535	-1		535	-1	-1	-1	-1	
536	-1		536	-1	-1	-1	-1	
537	-1		537	-1	-1	-1	-1	
538	-1		538	-1	-1	-1	-1	
539	-1		539	-1	-1	-1	-1	
540	-1		540	-1	-1	-1	-1	
541	-1		541	-1	-1	-1	-1	
542	-1		542	-1	-1	-1	-1	
543	-1		543	-1	-1	-1	-1	
544	-1		544	-1	-1	-1	-1	
545	-1		545	-1	-1	-1	-1	
546	-1		546	-1	-1	-1	-1	
547	-1		547	-1	-1	-1	-1	
548	-1		548	-1	-1	-1	-1	
549	-1		549	-1	-1	-1	-1	
550	-1		550	-1	-1	-1	-1	
551	-1		551	-1	-1	-1	-1	
552	-1		552	-1	-1	-1	-1	
553	-1		553	-1	-1	-1	-1	
554	-1		554	-1	-1	-1	-1	
555	-1		555	-1	-1	-1	-1	
556	-1		556	-1	-1	-1	-1	
557	-1		557	-1	-1	-1	-1	
558	-1		558	-1	-1	-1	-1	
559	-1		559	-1	-1	-1	-1	
560	-1		560	-1	-1	-1	-1	
561	-1		561	-1	-1	-1	-1	
562	-1		562	-1	-1	-1	-1	
563	-1		563	-1	-1	-1	-1	
564	-1		564	-1	-1	-1	-1	
565	-1		565	-1	-1	-1	-1	
566	-1		566	-1	-1	-1	-1	
567	-1		567	-1	-1	-1	-1	
568	-1		568	-1	-1	-1	-1	
569	-1		569	-1	-1	-1	-1	
570	-1		570	-1	-1	-1	-1	
571	-1		571	-1	-1	-1	-1	
572	-1		572	-1	-1	-1	-1	
573	-1		573	-1	-1	-1	-1	
574	-1		574	-1	-1	-1	-1	
575	-1		575	-1	-1	-1	-1	
576	-1		576	-1	-1	-1	-1	
577	-1		577	-1	-1	-1	-1	
578	-1		578	-1	-1	-1	-1	
579	-1		579	-1	-1	-1	-1	
580	-1		580	-1	-1	-1	-1	
581	-1		581	-1	-1	-1	-1	
582	-1		582	-1	-1	-1	-1	
583	-1		583	-1	-1	-1	-1	
584	-1		584	-1	-1	-1	-1	
585	-1		585	-1	-1	-1	-1	
586	-1		586	-1	-1	-1	-1	
587	-1		587	-1	-1	-1	-1	
588	-1		588	-1	-1	-1	-1	
589	-1		589	-1	-1	-1	-1	
590	-1		590	-1	-1	-1	-1	
591	-1		591	-1	-1	-1	-1	
592	-1		592	-1	-1	-1	-1	
593	-1		593	-1	-1	-1	-1	
594	-1		594	-1	-1	-1	-1	
595	-1		595	-1	-1	-1	-1	
596	-1		596	-1	-1	-1	-1	
597	-1		597	-1	-1	-1	-1	
598	-1		598	-1	-1	-1	-1	
599	-1		599	-1	-1	-1	-1	
600	-1		600	-1	-1	-1	-1	
601	-1		601	-1	-1	-1	-1	
602	-1		602	-1	-1	-1	-1	
603	-1		603	-1	-1	-1	-1	
604	-1		604	-1	-1	-1	-1	
605	-1		605	-1	-1	-1	-1	
606	-1		606	-1	-1	-1	-1	
607	-1		607	-1	-1	-1	-1	
608	-1		608	-1	-1	-1	-1	
609	-1		609	-1	-1	-1	-1	
610	-1		610	-1	-1	-1	-1	
611	-1		611	-1	-1	-1	-1	
612	-1		612	-1	-1	-1	-1	
613	-1		613	-1	-1	-1	-1	
